鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
文山區,房地(土地+建物)+車位,臺北市文山區車前路1~30號,23.15,商,,,1081111,土地1建物1車位2,二十五層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,318.77,3,2,2,有,有,62000000,194498,坡道平面,28.1,0,含增建或未登記建物。;,RPSNMLQJJHPFFAA67CA
中正區,房地(土地+建物)+車位,臺北市中正區金門街44巷6弄1~30號,24.88,住,,,1081124,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080129,114.15,2,2,1,有,無,22880000,215696,升降機械,16.42,1800000,,RPWNMLQJJHPFFAA08CA
文山區,房地(土地+建物),臺北市文山區景興路202巷1~30號,6.95,商,,,1081109,土地1建物1車位0,十二層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811006,54.64,1,1,1,有,有,9400000,172035,,0.0,0,,RPRNMLSJJHPFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段61巷1~30號,24.02,住,,,1081130,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020812,169.07999999999998,2,2,2,有,有,28800000,170334,坡道平面,36.42,0,含增建或未登記建物。;,RPXNMLSJJHPFFAA38CA
文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段115巷1~30號,94.85,住,,,1081116,土地4建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860610,193.46,4,2,2,有,有,23880000,123436,坡道機械,0.0,0,含增建或未登記建物。;,RPQNMLQJJHPFFAA47CA
文山區,車位,臺北市文山區萬慶街1~30號,6.71,其他,,,1081231,土地0建物0車位1,地下二層,二十層,其他,見使用執照,鋼筋混凝土造,0811029,43.67,0,0,0,有,有,2450000,,坡道平面,43.67,2450000,,RPTNMLMLJHPFFAA57CA
文山區,土地,興隆段一小段1~30地號,173.16,住,,,1081126,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46600000,269115,,0.0,0,,RPWOMLOKJHPFFAA08CA
萬華區,房地(土地+建物),臺北市萬華區青年路1~30號,21.6,住,,,1081117,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760316,100.07,3,2,2,有,有,16200000,161887,,0.0,0,含增建或未登記建物。;,RPSOMLNJJHPFFBA57CA
萬華區,房地(土地+建物),臺北市萬華區環河南路二段91~120號,25.98,其他,,,1081206,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630301,99.96,3,2,1,有,無,8500000,85034,,0.0,0,,RPXOMLNJJHPFFBA08CA
大同區,房地(土地+建物),臺北市大同區民生西路171巷1~30號,27.31,住,,,1081122,土地1建物2車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800522,122.56,4,1,2,有,有,14500000,118319,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLTJJHPFFBA08CA
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段416巷31~60號,47.5,住,,,1081209,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020702,183.52,3,2,2,有,有,27000000,147123,坡道平面,0.0,0,,RPWPMLTJJHPFFBA68CA
大同區,土地,大同段一小段391~420地號,100.67,其他,,,1081220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5619132,55817,,0.0,0,包含公共設施保留地之交易。;,RPVOMLTJJHPFFBA48CA
中正區,房地(土地+建物),臺北市中正區臨沂街1~30號,18.92,住,,,1080919,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720421,103.67,3,2,2,有,有,26650000,257066,,0.0,0,,RPQPMLNKJHPFFBA57CA
