鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,房地(土地+建物),臺中市東區振興路1~30號,62.0,住,,,1081215,土地1建物1車位0,全,四層,透天厝,住工用,鋼筋混凝土造,0740918,221.58,6,4,4,有,無,9800000,44228,,0.0,0,含增建或未登記建物。;,RPXQMLMJJHPFFAB18CA
中區,房地(土地+建物),臺中市中區大誠街5之1~30號,4.4,商,,,1081212,土地6建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0580623,73.72,2,1,1,有,有,2450000,33234,,0.0,0,,RPXRMLMJJHPFFAB28CA
中區,房地(土地+建物),臺中市中區臺灣大道一段306巷31~60號,7.55,商,,,1080714,土地1建物2車位0,五層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0820827,71.58,1,1,1,有,無,2598000,36295,,0.0,0,兩戶打通,RPTNMLNJJHPFFAB57CA
南區,房地(土地+建物),臺中市南區建國南路三段91~120號,13.48,住,,,1081117,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720505,52.63,2,2,1,有,有,2750000,52252,,0.0,0,,RPVNMLNJJHPFFAB77CA
西區,房地(土地+建物),臺中市西區樂群街25巷1~30號,67.0,住,,,1081125,土地2建物1車位0,一層,一層,其他,住家用,磚造,0790320,56.14,0,0,0,無,無,5720000,101888,,0.0,0,僅1層樓，開放式空間,RPWPMLOJJHPFFAB18CA
中區,房地(土地+建物),臺中市中區臺灣大道一段306巷31~60號,6.27,商,,,1080714,土地1建物1車位0,五層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0820827,59.49,1,1,1,有,無,2158800,36288,,0.0,0,,RPXNMLQJJHPFFAB28CA
西區,房地(土地+建物),臺中市西區樂群街391~420號,11.51,商,,,1081202,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870528,146.97,4,2,2,有,有,6700000,45588,,0.0,0,,RPOOMLRJJHPFFAB57CA
南區,房地(土地+建物),臺中市南區五權南路278巷1~30號,32.1,住,,,1081122,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740920,111.11,3,2,2,有,無,3000000,27000,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQQMLRJJHPFFAB97CA
中區,房地(土地+建物),臺中市中區公園路31~60號,6.83,商,,,1081207,土地2建物1車位0,八層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701231,51.95,1,1,1,有,有,2880000,55438,,0.0,0,,RPQNMLSJJHPFFAB77CA
南區,房地(土地+建物),臺中市南區福田三街271~300號,82.0,住,,,1081118,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0931207,228.0,5,3,4,有,無,16360000,71754,,0.0,0,,RPROMLSJJHPFFAB97CA
東區,房地(土地+建物)+車位,臺中市東區十甲路391~420號,13.53,住,,,1081109,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830702,116.47,3,2,2,有,有,5100000,43788,坡道機械,0.0,0,,RPXOMLSJJHPFFAB58CA
南區,房地(土地+建物),臺中市南區仁和二街1~30號,120.0,住,,,1081212,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0901122,284.17,13,1,8,有,無,15000000,52785,,0.0,0,,RPQQMLSJJHPFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區建國南路一段211~240號,23.4,住,,,1081129,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020625,212.73,4,2,2,有,有,14800000,69572,坡道平面,24.05,0,,RPPRMLSJJHPFFAB08CA
東區,土地,旱溪段181~210地號,7.2,其他,,,1081218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,13889,,0.0,0,包含公共設施保留地之交易。;,RPVNMLTJJHPFFAB38CA
東區,土地,旱溪段181~210地號,7.2,其他,,,1081218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,83500,11597,,0.0,0,包含公共設施保留地之交易。;,SPVNMLTJJHPFFAB48CA
東區,房地(土地+建物),臺中市東區復興路五段151~180號,36.67,住,,,1081125,土地1建物1車位0,一層，二層，騎樓，地下層,六層,店面(店鋪),住商用,鋼筋混凝土造,0700603,153.91,2,2,3,有,無,8780000,57046,,0.0,0,,RPPPMLTJJHPFFAB97CA
