鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鹽埕區,房地(土地+建物),高雄市鹽埕區大仁路260巷1~30號,26.26,住,,,1081223,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680811,73.25,3,2,1,有,無,2000000,27304,,0.0,0,,RPOOMLNJJHPFFAE47CA
鹽埕區,房地(土地+建物),高雄市鹽埕區建國四路271~300號,77.0,商,,,1081125,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0750303,296.8,5,2,3,有,無,10800000,36388,,0.0,0,本買賣案件係屬二親等間交易。,RPPNMLOJJHPFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區河邊街115巷1~30號,28.24,住,,,1081223,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0691030,99.5,3,1,2,有,無,1800000,18090,,0.0,0,瑕疵物件之交易。;,RPSNMLQJJHPFFAE08CA
前金區,房地(土地+建物),高雄市前金區成功一路301~330號,8.0,商,,,1081209,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780322,95.76,3,1,2,有,有,5000000,52208,,0.0,0,,RPPNMLRJJHPFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區南屏路541~570號,33.9,住,,,1081205,土地1建物1車位3,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020313,385.08000000000004,2,2,3,有,有,38950000,98670,坡道平面,49.62,5850000,含裝潢,RPQNMLTJJHPFFAE18CA
前金區,房地(土地+建物),高雄市前金區文武二街61~90號,4.41,商,,,1081206,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830811,37.17,2,1,1,有,無,1650000,44391,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLKKJHPFFAE87CA
鼓山區,車位,高雄市鼓山區明誠里南屏路271~300號,2.28,住,,,1081225,土地0建物0車位1,,,其他,,,,16.54,0,0,0,有,有,1300000,,坡道平面,16.54,1300000,1.加買車位,RPXNMLQKJHPFFAE68CA
前金區,土地,博孝段1~30地號,380.62,住,,,1081119,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,72538200,190579,,0.0,0,"含增建或未登記建物。;買方另負擔賣方應繳納增值稅新台幣4,394,603,及建物搬遷補償費新台幣貳拾萬元整",RPPNMLSLJHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,19.09,住,,,1081017,土地1建物1車位2,十層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,243.95999999999998,3,2,2,有,有,21860000,92221,坡道平面,41.62,3200000,,RPPNMLKMJHPFFAE47CA
