鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
土城區,房地(土地+建物),新北市土城區學享街61~90號,33.25,住,,,1081116,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830311,133.77,3,2,2,有,有,12000000,89706,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPRPMLMJJHPFFAF87CA
板橋區,房地(土地+建物),新北市板橋區富山街109巷61~90號,35.6,住,,,1081003,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781211,105.76,3,2,2,有,無,11800000,111573,,0.0,0,含增建或未登記建物。;,RPSNMLNJJHPFFAF87CA
土城區,房地(土地+建物)+車位,新北市土城區學成路40巷1~30號,22.21,住,,,1081105,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821209,148.37,3,2,2,有,有,14200000,95707,坡道平面,0.0,0,含增建或未登記建物。;,RPTNMLNJJHPFFAF97CA
板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,1.44,住,,,1081205,土地1建物1車位0,五層,三十七層,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0950914,42.07,1,1,1,有,有,6100000,144996,,0.0,0,含增建或未登記建物。;,RPUNMLNJJHPFFAF08CA
板橋區,房地(土地+建物),新北市板橋區南雅東路1~30號,5.48,商,,,1081207,土地1建物1車位0,三層,十一層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0861121,44.92,0,1,1,有,有,4550000,101291,,0.0,0,,RPTOMLNJJHPFFAF08CA
土城區,房地(土地+建物)+車位,新北市土城區清水路91~120號,11.79,商,,,1081127,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030110,120.98,2,2,1,有,有,12650000,104563,坡道平面,28.75,0,含增建或未登記建物。;,RPUOMLNJJHPFFAF18CA
土城區,房地(土地+建物),新北市土城區學府路一段121~150號,14.44,住,,,1081124,土地1建物1車位0,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840524,76.95,2,2,1,有,有,9500000,123457,,0.0,0,,RPOPMLNJJHPFFAF67CA
板橋區,房地(土地+建物)+車位,新北市板橋區光環路二段61~90號,13.62,住,,,1081010,土地1建物2車位2,二十層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1071213,147.34,3,2,2,有,有,18420000,157543,坡道平面,54.54,3800000,,RPPQMLNJJHPFFAF87CA
板橋區,車位,新北市板橋區板橋區光環路二段31~60號,0.05,住,,,1081130,土地0建物0車位1,一層,二十層,其他,見其他登記事項,鋼骨鋼筋混凝土造,1071213,27.27,0,0,0,有,無,1900000,,坡道平面,27.27,1900000,,RPRQMLNJJHPFFAF08CA
板橋區,房地(土地+建物)+車位,新北市板橋區大漢街31~60號,17.59,住,,,1060917,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080909,147.9,3,2,2,有,有,19680000,133063,坡道平面,33.62,0,本案房地交易總價為預售當時價格。,RPSQMLNJJHPFFAF18CA
板橋區,房地(土地+建物)+車位,新北市板橋區大漢街31~60號,9.77,住,,,1061219,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080909,93.27,2,1,1,有,有,10230000,109682,坡道平面,30.87,0,本案房地交易總價為預售當時價格。,RPUQMLNJJHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區新海路431巷1~30號,27.0,住,,,1080930,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.09,2,2,1,有,無,6300000,73179,,0.0,0,含增建或未登記建物。;,RPQOMLQJJHPFFAF08CA
板橋區,車位,新北市板橋區文化路一段331~360號,0.75,住,,,1081217,土地0建物0車位1,,,其他,,,,28.94,0,0,0,有,有,2500000,,坡道平面,28.93,2500000,,RPOTMLQJJHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區民生路二段226巷1~30號,16.6,住,,,1081130,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,70.15,3,2,1,有,無,3500000,49893,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPPMLQJJHPFFAF08CA
板橋區,房地(土地+建物),新北市板橋區四川路二段245巷19弄1~30號,7.53,住,,,1081211,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871110,42.88,3,2,2,有,有,5500000,128235,,0.0,0,含增建或未登記建物。;買方只負擔設定費用，其餘買方稅費由賣方負擔。,RPRPMLQJJHPFFAF28CA
