,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
1,文山區,房地(土地+建物)+車位,臺北市文山區車前路1~30號,23.15,商,,,1081111,土地1建物1車位2,二十五層,33.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,318.77,3,2,2,有,有,62000000,194498,坡道平面,28.1,0,含增建或未登記建物。;,RPSNMLQJJHPFFAA67CA
4,文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段61巷1~30號,24.02,住,,,1081130,土地1建物1車位1,九層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020812,169.07999999999998,2,2,2,有,有,28800000,170334,坡道平面,36.42,0,含增建或未登記建物。;,RPXNMLSJJHPFFAA38CA
5,文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段115巷1~30號,94.85,住,,,1081116,土地4建物1車位1,十七層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860610,193.46,4,2,2,有,有,23880000,123436,坡道機械,0.0,0,含增建或未登記建物。;,RPQNMLQJJHPFFAA47CA
11,萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段416巷31~60號,47.5,住,,,1081209,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020702,183.52,3,2,2,有,有,27000000,147123,坡道平面,0.0,0,,RPWPMLTJJHPFFBA68CA
22,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,9.54,商,,,1081202,土地1建物1車位2,六層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718,135.06,1,1,1,有,有,20900000,198894,坡道機械,41.04,2200000,,RPXNMLRKJHPFFCA58CA
31,南港區,房地(土地+建物),臺北市南港區研究院路一段91~120號,13.82,商,,,1081119,土地1建物1車位0,六層，電梯樓梯間,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871109,108.0,3,2,2,有,有,19800000,183333,,0.0,0,,RPVOMLNJJHPFFDA08CA
34,南港區,房地(土地+建物)+車位,臺北市南港區東新街121~150號,32.08,住,,,1081217,土地3建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990331,206.16,3,2,2,有,有,45000000,218277,坡道機械,0.0,0,,RPPPMLKKJHPFFDA37CA
46,北投區,房地(土地+建物)+車位,臺北市北投區北投路二段1~30號,48.81,住,,,1081203,土地1建物1車位1,十一層，十二層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0791016,250.44,5,2,3,有,有,38800000,154927,坡道平面,0.0,0,,RPQQMLNKJHPFFEA97CA
59,大同區,房地(土地+建物),臺北市大同區民權西路121~150號,3.46,商,,,1081123,土地1建物1車位0,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970623,41.08,2,1,1,有,有,8500000,206913,,0.0,0,含增建或未登記建物。;,RPOOMLQJJHPFFBA57DA
69,北投區,房地(土地+建物)+車位,臺北市北投區文林北路1~30號,44.04,住,,,1081104,土地2建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021021,191.22,3,2,2,有,有,22700000,118711,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLRKJHPFFEA78DA
73,內湖區,房地(土地+建物)+車位,臺北市內湖區金湖路61~90號,21.42,商,,,1081104,土地1建物1車位1,二十三層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961030,236.78,3,2,2,有,有,62800000,295075,坡道平面,34.12,3000000,含增建或未登記建物。,RPUPMLQJJHPFFCA38DA
74,內湖區,房地(土地+建物)+車位,臺北市內湖區新富街31~60號,50.94,住,,,1081209,土地1建物1車位1,六層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990209,292.56,5,2,2,有,有,51580000,190373,坡道平面,34.75,2500000,,RPVPMLQJJHPFFCA48DA
89,士林區,房地(土地+建物),臺北市士林區重慶北路四段211~240號,11.55,住,,,1081130,土地2建物1車位0,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060413,73.98,2,1,1,有,有,12700000,171668,,0.0,0,,RPSQMLKLJHPFFEA97CA
94,士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,,,1051116,土地2建物1車位1,十六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730,206.46,3,2,2,有,無,54680000,308743,坡道平面,38.1,2700000,本案為預售;雨遮不計價,RPSOMLSJJHPFFEA38CA
107,信義區,房地(土地+建物)+車位,臺北市信義區松德路200巷1~30號,33.77,其他,,,1081122,土地1建物1車位1,五層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880621,225.51,3,2,2,有,有,66880000,296572,坡道平面,30.75,0,,RPPPMLTJJHPFFDA18CA
112,松山區,房地(土地+建物),臺北市松山區民生東路五段151~180號,4.49,商,,,1081201,土地1建物1車位0,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720129,52.34,2,2,2,有,有,9550000,182461,,0.0,0,,RPXNMLRJJHPFFDA58CA
120,內湖區,房地(土地+建物)+車位,臺北市內湖區行善路241~270號,33.75,其他,,,1081129,土地1建物1車位2,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990329,267.53,4,2,2,有,有,46500000,173812,坡道平面,54.36,0,,RPQSMLTJJHPFFCA48CA
134,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段181~210號,7.8,商,,,1081126,土地1建物1車位1,六層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080604,120.35,2,1,1,有,有,32400000,333407,坡道平面,29.77,2200000,,RPVPMLSJJHPFFCA58CA
135,大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,20.82,商,,,1081125,土地2建物1車位1,十四層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925,252.70999999999998,0,0,0,無,無,58000000,264657,坡道平面,42.06,2250000,,RPPNMLTKJHPFFBA87CA
136,大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,20.82,商,,,1081121,土地2建物1車位1,十五層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925,252.64999999999998,0,0,0,無,有,58680000,266299,坡道平面,42.06,2600000,,RPQNMLTKJHPFFBA97CA
138,萬華區,房地(土地+建物)+車位,臺北市萬華區內江街61~90號,17.94,商,,,1081202,土地1建物1車位2,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060104,272.04999999999995,4,2,1,有,有,51480000,222222,坡道平面,56.14,3500000,,RPSPMLTJJHPFFBA28CA
143,大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,19.64,住,,,1080715,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726,222.51,3,2,2,有,有,52200000,263567,坡道平面,35.84,3000000,,RPRNMLSJJHPFFBA87CA
147,萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段364巷1~30號,41.64,住,,,1081218,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020702,160.7,3,2,2,有,有,25700000,159925,坡道平面,0.0,0,,RPWQMLRJJHPFFBA58CA
