鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物),桃園市桃園區鎮二街91~120號,41.47,住,,,1081106,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770211,167.26,4,2,2,有,無,9980000,59668,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWQMLNJJHPFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同德五街131巷4弄1~30號,93.14,住,,,1081117,土地1建物1車位1,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1020618,295.17,4,3,5,有,有,29500000,99942,其他,0.0,0,含增建或未登記建物。;,RPQTMLNJJHPFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區園二街151~180號,30.85,住,,,1081206,土地1建物1車位2,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071005,220.41,2,2,2,有,有,18280000,97266,坡道平面,71.54,3800000,,RPPNMLOJJHPFFAH87CA
桃園區,房地(土地+建物),桃園市桃園區慈祥街11巷1~30號,24.65,住,,,1081121,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830610,77.36999999999999,3,1,3,有,無,5830000,75342,,0.0,0,,RPQNMLRJJHPFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區忠二路181~210號,24.55,住,,,1081116,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080617,129.49,2,1,1,有,有,8120000,73884,坡道平面,43.95,1800000,,RPSQMLRJJHPFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔六街181~210號,26.49,商,,,1081112,土地1建物1車位2,十一層,十九層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060920,333.94,1,0,3,有,有,38600000,125361,坡道平面,49.96,3000000,本案為實品屋，裝潢款含於總價內。,RPQUMLSJJHPFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔六街181~210號,26.49,商,,,1081117,土地1建物1車位2,八層,十九層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060920,333.94,1,0,3,有,有,34280000,110149,坡道平面,49.96,3000000,,RPRUMLSJJHPFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區?門街61~90號,27.67,住,,,1081128,土地1建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030910,238.89,4,2,2,有,有,14400000,60279,坡道平面,58.49,0,,RPXQMLTJJHPFFAH86CA
桃園區,房地(土地+建物),桃園市桃園區向善街48巷1~30號,9.37,住,,,1081106,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871215,48.17,2,1,1,有,有,3000000,62279,,0.0,0,,RPORMLTJJHPFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同安街1~30號,28.81,住,,,1081127,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970424,192.21,4,2,2,有,有,11500000,59830,坡道平面,33.73,0,,RPRSMLTJJHPFFAH09CA
